mysql> select * from report_constant_mapping order by report_id;
+-----------+-------------+----------------+
| report_id | constant_id | constant_class |
+-----------+-------------+----------------+
|         4 |           1 | FREQUENCY      |
|         4 |           2 | FREQUENCY      |
|         4 |           7 | FORMATE        |
|        16 |           4 | FREQUENCY      |
|        16 |          13 | FORMATE        |
|        23 |           1 | FREQUENCY      |
|        23 |           2 | FREQUENCY      |
|        23 |           3 | FREQUENCY      |
|        23 |           7 | FORMATE        |
|        26 |           1 | FREQUENCY      |
|        26 |           5 | FORMATE        |
|        26 |           6 | FORMATE        |
|        33 |           1 | FREQUENCY      |
|        33 |           6 | FORMATE        |
|        33 |          12 | FREQUENCY      |
|        48 |           1 | FREQUENCY      |
|        48 |           2 | FREQUENCY      |
|        48 |           6 | FORMATE        |
|        48 |          12 | FREQUENCY      |
|        54 |           1 | FREQUENCY      |
|        54 |           6 | FORMATE        |
|        56 |           1 | FREQUENCY      |
|        56 |           7 | FORMATE        |
|        63 |           4 | FREQUENCY      |
|        63 |           6 | FORMATE        |
|        63 |           7 | FORMATE        |
|        65 |           3 | FREQUENCY      |
|        65 |           7 | FORMATE        |
|       102 |           4 | FREQUENCY      |
|       102 |           7 | FORMATE        |
|       113 |           1 | FREQUENCY      |
|       113 |           2 | FREQUENCY      |
|       113 |           3 | FREQUENCY      |
|       113 |           7 | FORMATE        |
|       113 |          12 | FREQUENCY      |
|       114 |           1 | FREQUENCY      |
|       114 |           2 | FREQUENCY      |
|       114 |           6 | FORMATE        |
|       114 |          12 | FREQUENCY      |
|       122 |           1 | FREQUENCY      |
|       122 |           2 | FREQUENCY      |
|       122 |           3 | FREQUENCY      |
|       122 |           7 | FORMATE        |
|       122 |          12 | FREQUENCY      |
|       132 |           1 | FREQUENCY      |
|       132 |           2 | FREQUENCY      |
|       132 |           3 | FREQUENCY      |
|       132 |           7 | FORMATE        |
|       140 |           4 | FREQUENCY      |
|       140 |           7 | FORMATE        |
|       142 |           1 | FREQUENCY      |
|       142 |           2 | FREQUENCY      |
|       142 |           6 | FORMATE        |
|       142 |          12 | FREQUENCY      |
|       143 |           4 | FREQUENCY      |
|       143 |           8 | FORMATE        |
|       146 |           1 | FREQUENCY      |
|       146 |           2 | FREQUENCY      |
|       146 |           3 | FREQUENCY      |
|       146 |           7 | FORMATE        |
|       146 |          12 | FREQUENCY      |
|       148 |           1 | FREQUENCY      |
|       148 |           2 | FREQUENCY      |
|       148 |           3 | FREQUENCY      |
|       148 |           6 | FORMATE        |
|       148 |          12 | FREQUENCY      |
|       148 |          13 | FORMATE        |
|       149 |           4 | FREQUENCY      |
|       149 |           7 | FORMATE        |
|       151 |           1 | FREQUENCY      |
|       151 |           2 | FREQUENCY      |
|       151 |           3 | FREQUENCY      |
|       151 |           7 | FORMATE        |
|       152 |           1 | FREQUENCY      |
|       152 |           2 | FREQUENCY      |
|       152 |           3 | FREQUENCY      |
|       152 |           8 | FORMATE        |
|       152 |          12 | FREQUENCY      |
|       163 |           1 | FREQUENCY      |
|       163 |           5 | FORMATE        |
|       164 |           1 | FREQUENCY      |
|       164 |           2 | FREQUENCY      |
|       164 |           5 | FORMATE        |
|       164 |          12 | FREQUENCY      |
|       166 |           1 | FREQUENCY      |
|       166 |           2 | FREQUENCY      |
|       166 |           7 | FORMATE        |
|       166 |          12 | FREQUENCY      |
|       171 |           1 | FREQUENCY      |
|       171 |           2 | FREQUENCY      |
|       171 |           3 | FREQUENCY      |
|       171 |           4 | FREQUENCY      |
|       171 |           7 | FORMATE        |
|       171 |          15 | FREQUENCY      |
|       172 |           1 | FREQUENCY      |
|       172 |           2 | FREQUENCY      |
|       172 |           3 | FREQUENCY      |
|       172 |          12 | FREQUENCY      |
|       172 |          13 | FORMATE        |
|       173 |           1 | FREQUENCY      |
|       173 |           2 | FREQUENCY      |
|       173 |           3 | FREQUENCY      |
|       173 |           6 | FORMATE        |
|       173 |          12 | FREQUENCY      |
|       179 |           1 | FREQUENCY      |
|       179 |           2 | FREQUENCY      |
|       179 |           3 | FREQUENCY      |
|       179 |           4 | FREQUENCY      |
|       179 |          12 | FREQUENCY      |
|       179 |          13 | FORMATE        |
|       180 |           1 | FREQUENCY      |
|       180 |           2 | FREQUENCY      |
|       180 |           3 | FREQUENCY      |
|       180 |           7 | FORMATE        |
|       180 |          12 | FREQUENCY      |
|       181 |           1 | FREQUENCY      |
|       181 |           2 | FREQUENCY      |
|       181 |           3 | FREQUENCY      |
|       181 |          13 | FORMATE        |
|       181 |          15 | FREQUENCY      |
|       182 |           4 | FREQUENCY      |
|       182 |          13 | FORMATE        |
|       185 |           4 | FREQUENCY      |
|       185 |          13 | FORMATE        |
|       187 |           1 | FREQUENCY      |
|       187 |           2 | FREQUENCY      |
|       187 |           3 | FREQUENCY      |
|       187 |          12 | FREQUENCY      |
|       187 |          13 | FORMATE        |
|       190 |           1 | FREQUENCY      |
|       190 |           2 | FREQUENCY      |
|       190 |           3 | FREQUENCY      |
|       190 |          12 | FREQUENCY      |
|       190 |          13 | FORMATE        |
|       191 |           4 | FREQUENCY      |
|       191 |          13 | FORMATE        |
|       192 |           1 | FREQUENCY      |
|       192 |           2 | FREQUENCY      |
|       192 |           3 | FREQUENCY      |
|       192 |           7 | FORMATE        |
|       192 |          12 | FREQUENCY      |
|       193 |           1 | FREQUENCY      |
|       193 |           2 | FREQUENCY      |
|       193 |           6 | FORMATE        |
|       193 |           7 | FORMATE        |
|       193 |          12 | FREQUENCY      |
|       197 |           1 | FREQUENCY      |
|       197 |           2 | FREQUENCY      |
|       197 |           3 | FREQUENCY      |
|       197 |           4 | FREQUENCY      |
|       197 |          12 | FREQUENCY      |
|       197 |          13 | FORMATE        |
|       198 |           4 | FREQUENCY      |
|       198 |          13 | FORMATE        |
|       200 |           4 | FREQUENCY      |
|       200 |          13 | FORMATE        |
|       203 |           1 | FREQUENCY      |
|       203 |           2 | FREQUENCY      |
|       203 |           3 | FREQUENCY      |
|       203 |           7 | FORMATE        |
|       203 |          12 | FREQUENCY      |
+-----------+-------------+----------------+
161 rows in set (0.01 sec)

