id	version	class_code	display_name	display_value	duration
1	0	frequency	Previous Month	MONTHLY	NULL
2	0	frequency	Previous Week	WEEKLY	NULL
3	0	frequency	Previous Day	DAILY	NULL
4	0	frequency	Snapshot	SNAP	NULL
5	0	formate	PPT	ppt	NULL
6	0	formate	PDF	pdf	NULL
7	0	formate	XLS	xls	NULL
8	0	formate	CSV	csv	NULL
9	0	digest	monthly digest	MONTHLY	NULL
10	0	digest	weekly digest	WEEKLY	NULL
11	0	digest	daily digest	DAILY	NULL
12	0	frequency	Specific Period	SPECIFIC	NULL
13	0	formate	CSV	csv	NULL
14	0	frequency	Previous 3 Months	3MONTHS	NULL
15	0	frequency	Specific Period	SPECIFIC	12MONTHS
